Name|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
interior / room access door: toilet|amenity=toilets, access=yes, building=toilets, door=yes, room=toilet, toilets=yes||Building characteristics|Doorways|where does the door lead to (venues connected)|interior / room access door: toilet||Restroom#toilet
interior colors are conspicuous colors|colour=aqua, colour=black, colour=blue, colour=brown, colour=cyan, colour=fuchsia, colour=green, colour=gray, colour=grey, colour=lime, colour=magenta, colour=maroon, colour=navy, colour=olive, colour=orange, colour=purple, colour=red, colour=silver, colour=teal, colour=white, colour=yellow|colour=conspicuous, high_contrast=yes|General building information|Interior colors|conspicuous colors|||EquipmentProperties#isHighContrast, PlaceInfo#accessibility
intermediate or half floors|level=user defined|floor=intermediate|General building information|Formal information|intermediate or half floors|||StructuredAddress#level
international symbol of accessibility sign at toilet room|access=yes, amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, toilets:wheelchair=yes|sign=accessibility, symbol=international|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|international symbol of accessibility|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#signIcons, Restroom#toilet, Room#isAccessibleWithWheelchair
internet service is included for customers with no additional charge|internet_access:fee=customers|||||||
internet service is provided to the general public with no fee or purchase required|internet_access:fee=no|||||||
Is not wheelchair accessible|wheelchair=no, kerb=rolled||||||Accessibility#accessibleWith.wheelchair == false, Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#partiallyAccessibleWith.wheelchair, Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
Is partially wheelchair accessible|wheelchair=limited||||||Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#partiallyAccessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairPlaces#count
Is wheelchair accessible|wheelchair=yes, elevator=wheelchair, toilets:wheelchair=yes||Facility daily needs|Toilet / toilet compartment|lavatories|accessbility by wheelchair|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Room#isAccessibleWithWheelchair, Shower#isLevel, WashBasin#accessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
Is wheelchair accessible [1]|wheelchair=yes, elevator=wheelchair, toilets:wheelchair=yes||Facility daily needs|Toilet / toilet compartment|accessibility [4]|accessibility level: wheelchair accessibility|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Room#isAccessibleWithWheelchair, Shower#isLevel, WashBasin#accessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
it is not possible to wash hands|toilets:handwashing=no|||||||
it is not possible to wash hands with soap|handwashing:soap=no|||||||
it is possible to wash hands|toilets:handwashing=yes|||||||Restroom#washBasin
it is possible to wash hands with soap|handwashing:soap=yes|||||||Restroom#heightOfSoap, Restroom#washBasin
janitor closet|closet=janitor|||||||
kerb > 3cm|kerb=raised|||||||
kerb is not present|kerb=no|||||||
kerb is present|kerb=yes|||||||
kerb ~ 0 cm|kerb=flush|||||||
kerb ~ 3cm|kerb=lowered|||||||
key from Master Locksmiths Association opens door|centralkey=mlak|||||||EquipmentProperties#door
kitchen|room=kitchen||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|food: kitchen||PlaceInfo#category, StructuredAddress#room
knee space dimensions in wheelchair space (seatings)|height=user defined, length=user defined, width=user defined|clear_floor_space=yes|Movables|Wheelchair space (seatings)|knee space dimensions|||WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
laboratory|room=laboratory||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|laboratory||PlaceInfo#category, StructuredAddress#room
lamp|lamp_type=electric, lamp_type=fluorescent, lamp_type=gaslight, floodlight, lamp_type=gaslight, lamp_type=high_pressure_sodium, lamp_type=LED, lamp_type=low_pressure_sodium, lamp_type=sodium, light=yes, lit=yes|lamp=yes|General building information|Light|type [10]|lamp||
lamp is lit every day from 20:00 to 08:00|light:lit=20:00-08:00|||||||
landing / flight of stairs (number of steps)|highway=steps, room=stairs, stairs=yes, step_count=5||Change Elevation|Stairs|dimension [3]|landing / flight of stairs (number of steps)||Stairs#count
language of sign is German||sign:de=yes|General help for orientation / Technical assistance|Signage|language|German||EquipmentProperties#languages, Media#hasPlainLanguageOption, Media#languages, Restroom#signIcons, WheelchairParking#hasDedicatedSignage
language of signage||sign:lg=yes|General help for orientation / Technical assistance|Signage|language|||EquipmentProperties#languages, Media#hasPlainLanguageOption, Media#languages, Restroom#signIcons, WheelchairParking#hasDedicatedSignage
language of the overview panel|information=board|information:lg=board|Building characteristics|Doorways|overview panel|language [of the overview panel??]||EquipmentProperties#languages, Media#hasPlainLanguageOption, Media#languages
large immobile block(s)|barrier=block|||||||
large print||print=large||||||EquipmentProperties#hasLargePrint, Media#isLargePrint
large shop selling groceries, fresh produce, and other goods|shop=supermarket|||||||
large store with multiple clothing and other general merchandise departments|shop=department_store|||||||
large strainer or trash screen is installed to prevent solid matter, possibly waste, to go downstream|inlet=screen|||||||
large water basin or tank for a fire department to take water|emergency=water_tank|||||||
laser|light:method=laser|||||||
lavatories exist||lavatory=yes|Facility daily needs|Toilet / toilet compartment|lavatories|existence [13]||Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#height, WashBasin#isLocatedInsideRestroom, WashBasin#spaceBelowDepth, WashBasin#spaceBelowHeight
lavatories in toilet / toilet compartment|amenity=toilets, building=toilets, room=toilet, toilets=yes|lavatory=yes|Facility daily needs|Toilet / toilet compartment|lavatories|||Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#height, WashBasin#isLocatedInsideRestroom, WashBasin#spaceBelowDepth, WashBasin#spaceBelowHeight
lavatory type: lever / non-contact / rotary knob / pusher / other: ...|handle=lever, handle=no, handle=wheel|lavatory=lever, lavatory=non-contact, lavatory=rotary_knob, lavatory=pusher, lavatory=yes|Facility daily needs|Toilet / toilet compartment|lavatories|type: lever / non-contact / rotary knob / pusher / other: ...||Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#isLocatedInsideRestroom, WashBasin#spaceBelowDepth, WashBasin#spaceBelowHeight
leading lights to describe the position of the light on the lead as viewed from seaward|light:category=front, light:category=lower, ligth:category=rear, light:category=upper|||||||
lecture room|room=lecture||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|lecture room|PlaceInfo#category|StructuredAddress#room
lecturer zone|room=lecture||General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|||
lecturer zone is in level: same level with 1st row|room=lecture|lecturer_zone_level=first_row_level|General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|in level: same level with 1st row||Ground#isLevel
lecturer zone is in level: with platform/stage|room=lecture, room=platform, room=stage|lecturer_zone_level=platform_level, lecturer_zone_level=stage_level|General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|in level: with platform/stage||Ground#isLevel
lecturer zone is in level: with ramp|ramp=yes, room=lecture|lecturer_zone_level=ramp_level|General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|in level: with ramp||Ground#isLevel
lecturer zone is in level: with stairs|highway=steps, room=lecture, room=stairs, stairs=yes|lecturer_zone_level=stair_level|General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|in level: with stairs||Ground#isLevel
lecturer zone with seating: yes / no|room=lecture, indoor_seating=no, indoor_seating=yes, seats=user defined||General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|seating: yes / no||
lecturer's desk in lecturer zone: accessible|access=yes, access:disabled=yes, room=lecture wheelchair=yes||General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|lecturer's desk: accessible |Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
lecturer's desk in lecturer zone: fixed / movable|room=lecture|desk=fixed, desk=movable|General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|lecturer's desk: fixed / movable||
lecturer's desk in lecturer zone: height adjustable|height=user defined, room=lecture|desk=yes, height=adjustable|General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|lecturer's desk: height adjustable||
lecturer's desk in lecturer zone: yes / no|room=lecture||General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|lecturer's desk: yes / no||
LED|lamp_type=LED|||||||
length / dimensions inside elevator|elevator=yes, height=user defined, highway=elevator, length=user defined, room=elevator, width=user defined||Change Elevation|Elevator|dimensions inside|length [3]||
length of accessible counter|access=yes, access:disabled=yes, length=user defined, room=check-in-counter, room=check-out-counter, wheelchair=yes|counter=accessible|Facility daily needs|Services|service desks|dimension: length of accessible counter|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
length of bench|amenity=bench, length=user defined, room=benches||Movables|Benches|dimensions [1]|length [2]||
length of cabin|length=user defined|||||||EquipmentProperties#cabinLength
length of minimum corridor width in cm|length=user defined, room=corridor, width=user defined|minimum_width=user defined|Building characteristics|Floor (pathway)|dimension [10]|length of min. corridor width in cm||Pathways#width, Pathways#widthAtObstacles
length of ramp|length=user defined, ramp=yes||Change in Ground Height|Ramp|dimension [12]|length [1]||
less than 2mm fractions of rock|surface=sand|||||||
level 13 is non-existent|non_existent_levels=13|||||||
level doorway|door=yes, heigth:threshold=0||Building characteristics|Doorways|level [1]|||Entrance#isLevel, EquipmentProperties#door, Ground#isLevel
level rooms / venues / offices|height:threshold=0, indoor=room, level=user defined, room=office||General help for orientation / Technical assistance|Rooms / venues / offices|level [2]|||Ground#isLevel, StructuredAddress#level
levels connected through elevator|highway=elevator; level=user defined||Change Elevation|Elevator|levels connected|||
lever allows to open or close a door or a valve|door:handle=lever, handle=lever|||||||EquipmentProperties#door
lifeboat station|emergency=life_boat_station|||||||
light associated with other lights so as to form a leading line to be followed|light:category=leading|||||||
light available as a backup to a main light which will be illuminated should the main light fail|light:category=emergency|||||||
light bulb|bulb=no, bulb=yes||General building information|Light|type [10]|light bulb||
light emitting diode|light:method=LED|||||||
light gets reflected in room / venue / office|water=reflecting_pool|light=reflected|General help for orientation / Technical assistance|Rooms / venues / offices|lighting|reflecting||
light illuminating a sector of very narrow angle and intended to mark a direction to follow|light:category=directional|||||||
light is not in use|light:status=not in use|||||||
light is recommended|light:status=recommended|||||||
light marking an obstacle which constitutes a danger to air navigation|light:category=air_obstruction|||||||
light placed on or near the support of a main light and having a special use in navigation|light:category=subsidiary|||||||
light source|light_source=aviation/floodlight/lantern/signal_lamp/warning etc.||General building information|Light|type [10]|source||
light source emits light downwards|light:tilt=-90|||||||
light source emits light horizontally|light:tilt=0|||||||
light source emits light upwards|light:tilt=90|||||||
light source flashes in a repeating pattern; 0.5 seconds on, 2.0 seconds off in a 2 seconds, 0.5 seconds on,1 second off|light:flash=0.5,2,0.5,1|||||||
light source flashes randomly|light:flash=random|||||||
light source flashes regularly in a 2 seconds period|light:flash=2|||||||
light source is flashing|light:flash=yes|||||||EquipmentProperties#disruptionSourceImportId
light source is flashing in a repeating pattern|light:flash=pattern|||||||
light source is lit from dusk to dawn|light:lit=dusk-dawn|||||||
light source is lit from dusk to dawn, but on workdays it is switched off between midnight and 04:00|light:lit=Mo-Fr dusk-00:00,04:00-dawn; Sa-Su dusk-dawn|||||||
light source is not flashing|light:flash=no|||||||
light source is switched on and off exactly at sunset and sunrise|light:lit=sunset-sunrise|||||||
light source is switched on by a motion sensor|light:lit=motion|||||||
light source is switched on by demand|light:lit=demand|||||||
light source points to a crossing|light:direction=to_crossing|||||||
light source points to a determined point along a street|light:direction=to_street|||||||
light source used in aviation for, e.g., runway lighting|light_source=aviation|||||||
light source whose purpose is to illuminate broad areas|light_source=lantern|||||||
light switch location|heighth=user defined, length=user defined, width=user defined|light_switch=yes|General building information|Light|switch location|||
light switches||light_switch=user defined, ligth_switch=yes|General help for orientation / Technical assistance|Technology|controls|light switches||
light used to automatically determine conditions of visibility which warrant the turning on or off of a sound signal|light:category=fog_detector|||||||
light which enables its approximate bearing to be obtained without the use of a compass|light:category=bearing|||||||
lighting of door|door=yes, light=yes, visual:condition=good, visual:condition=poor, visual:condition=fair, visual:condition=average||Building characteristics|Doorways|lighting of door|||EquipmentProperties#door
lighting of rooms / venues / offices|light=yes, indoor=room, room=office, visual:condition=good, visual:condition=poor, visual:condition=fair, visual:condition=average||General help for orientation / Technical assistance|Rooms / venues / offices|lighting|||
lightning of steps|highway=steps, light=yes, room=stairs, stairs=yes, visual:condition=good, visual:condition=poor, visual:condition=fair, visual:condition=average||Change Elevation|Stairs|lighting of steps|||
lights are on at the given time|lit=Mo - Fr 08:00 - 17:30 |||||||
lights are on from sunset till sunrise|lit=sunset - sunrise|||||||
limited access for blind persons|access:blind=limited, blind=limited|||||||PlaceInfo#accessibility
limited access for deaf persons|access:deaf=limited|||||||PlaceInfo#accessibility
limited access for mental disabled persons|access:mental_disabled=limited|||||||PlaceInfo#accessibility
limited access for persons with sitting disabilities|sitting_disability=limited|||||||PlaceInfo#accessibility
limited access for persons with walking_disability|walking_disability=limited|||||||PlaceInfo#accessibility
limited access for wheelchairs because of a step|obstacle:wheelchair=step|||||||PlaceInfo#accessibility, Shower#step
limited access for wheelchairs because of an obstacle|obstacle:wheelchair=limited|||||||Pathways#widthAtObstacles, PlaceInfo#accessibility
line of closely spaced shrubs and tree species|barrier=hedge|||||||
linear, u-shaped, spiral, other: ... stairs|highway=steps, room=stairs, stairs=yes|stairs=linear, stairs=spiral, stairs=u-shaped|Change Elevation|Stairs|type / shape|linear, u-shaped, spiral, other: ...||Stairs#alternativeMobileEquipmentIds, Stairs#count, Stairs#hasAntiSlipNosing, Stairs#hasBrailleNavigation, Stairs#hasHandRail, Stairs#hasHighContrastNosing, Stairs#hasTactileSafetyStrips, Stairs#name, Stairs#stepHeight
liquid storage|storage=liquid|||||||
living room|room=living|||||||StructuredAddress#room
lobby|room=lobby|||||||StructuredAddress#room
local train|service=regional|||||||
location of accessible parking|access=yes, access:disabled=yes, amenity=parking, location=bridge, location=indoor, location=outdoor, location=overground, location=overhead, location=roof, location=rooftop, location=surface, location=underground, location=underwater|accessible_parking=yes, location:description:lg=user defined|Way to building|Accessible parking|location [2]|||PlaceInfo#accessibility, PlaceInfo#description, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
location of control panel inside the elevator|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=yes, height=user defined, highway=elevator, length=user defined, room=elevator, width=user defined|location:description:lg=user defined|Change Elevation|Elevator|in-car controls / equipment|location of control panel inside the elevator||EquipmentProperties#heightOfControls, PlaceInfo#description
location of doorway|door=yes, location=bridge, location=indoor, location=outdoor, location=overground, location=overhead, location=roof, location=rooftop, location=surface, location=underground, location=underwater|location:description:lg=user defined|Building characteristics|Doorways|location [3]|||EquipmentProperties#door, PlaceInfo#description
location of elevator|elevator=yes, highway=elevator, location=bridge, location=indoor, location=outdoor, location=overground, location=overhead, location=roof, location=rooftop, location=surface, location=underground, location=underwater, room=elevator|location:description:lg=user defined|Change Elevation|Elevator|existence, location|||PlaceInfo#description
location of handrail at stairs: yes, left / yes, right / yes, center / no|handrail=both, handrail=center, handrail=left, handrail=multiple, handrail=no, handrail=none, handrail=right, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no handrail:right=yes, highway=steps, height=user defined, length=user defined, room=stairs, stairs=yes, width=user defined|location:description:lg=user defined|Change Elevation|Stairs|handrail [3]|location: yes, left / yes, right / yes, center / no||PlaceInfo#description, Stairs#hasHandRail
location of hanging obstacle, suspended or overhead obstacle, above user waist, on the ground|advertising=sign, advertising=screen, advertising=tarp, artwork_type=mosaic, artwork_type=mural, artwork_type=painting, artwork_type=relief, artwork_type=tilework, height=user defined, information=board, length=user defined, material=mirror, obstacle:wheelchair=limited, obstacle:wheelchair=no, obstacle:wheelchair=step, obstacle:wheelchair=yes, width=user defined|furniture=hanging, location:description:lg=user defined|Building characteristics|Obstacles|location [7]|hanging obstacle, suspended or overhead obstacle, above user waist, on the ground||Pathways#widthAtObstacles, PlaceInfo#description
location of minimum one van accessible parking space|access=yes, access:disabled=yes, amenity=parking, maxheight=3|accessible_parking=>1, accessible_parking=yes, location:description:lg=user defined|Way to building|Accessible parking|location [2]|min one van accessible space|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, PlaceInfo#description, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
location of moving walkway|conveying=backward, conveying=forward, conveying=reversible, conveying=yes|location:description:lg=user defined|Change Elevation|Moving walkway|location [6]|||PlaceInfo#description
location of obstacles|obstacle:wheelchair=limited, obstacle:wheelchair=no, obstacle:wheelchair=step, obstacle:wheelchair=yes|location:description:lg=user defined|Building characteristics|Obstacles|location [7]|||Pathways#widthAtObstacles, PlaceInfo#description
location of plan|board_type=map, information=map, information=tactile_map|location:description:lg=user defined|General help for orientation / Technical assistance|Plan|location [8]|||PlaceInfo#description
location of sockets|socket:<type>=user defined, socket:<type>=yes|location:description:lg=user defined|General help for orientation / Technical assistance|Rooms / venues / offices|sockets|location||PlaceInfo#description
location of stairs|highway=steps, room=stairs, stairs=yes|location:description:lg=user defined|Change Elevation|Stairs|location [4]|||PlaceInfo#description
location of stairs in building|building=yes, highway=steps, indoor=yes, room=stairs, stairs=yes|location:description:lg=user defined|Change Elevation|Stairs|location in building|||PlaceInfo#description
location of stairs in seating (lecture rooms); perspective of teacher: left / center / right|highway=steps, indoor_seating=yes, room=lecture, stairs=yes|location:description:lg=user defined|Change Elevation|Stairs|location [4]|stairs in seating (lecture rooms); perspective of teacher: left / center / right||PlaceInfo#description
location of tactile description on a tactile signpost|blind:description:lg=user defined, information=guidepost, tactile_writing:braille:lg=no, tactile_writing:braille:lg=yes, tactile_writing:computer_braille:lg=no, tactile_writing:computer_braille:lg=yes, tactile_writing:embossed_printed_letters:lg=no, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=no, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=no, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=no, tactile_writing:moon:lg=yes|location:description:lg=user defined|General help for orientation / Technical assistance|Signage|tactile signpost|location of tactile description||PlaceInfo#description
location of tactile map|information=tactile_map|location:description:lg=user defined|General help for orientation / Technical assistance|Plan|type [12]|tactile map (location)||PlaceInfo#description
location of windows|window=yes|location:description:lg=user defined|General help for orientation / Technical assistance|Windows|location [5]|||PlaceInfo#description
location used for fire spotting|emergency=fire_lookout|||||||
locked manual controls|control=manual_locked|||||||
locker for generic luggage/suitcases|locker=luggage|||||||
locker for small luggage/valuables|locker=handbag|||||||
locker intended to hold food|locker=food|||||||
locker specifically for bicycles|locker=bicycle|||||||
loft||room=loft, loft=yes|General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|loft||PlaceInfo#category, StructuredAddress#room
log blocking a road|barrier=log|||||||
long (>100m) tunnel where flowing water or other fluid prevent humans from safely walking inside|tunnel=flooded|||||||
long distance trains with double-deck car carrier|service=car|||||||
long distance trains; e.g., InterCity, EuroCity, InterRegio|service=long_distance|||||||
long pole built to hold a flag|man_made=flagpole|||||||
long, narrow concrete elements for a two-tracked vehicle|surface=concrete:lanes|||||||
loud noise maker, such as an air raid siren or a tornado siren|emergency=siren|||||||
loudspeaker is available|loudspeaker=yes|||||||
lounge|room=lounge||Building characteristics|Floor (pathway)|furnished/equipped lounge and communication area|yes / no [1]||StructuredAddress#room
low pressure sodium lamp|lamp_type=low_pressure_sodium|||||||
low pressure sodium-vapor lamp|light:method=low_pressure_sodium|||||||
machine or device in rooms / venues / offices|amenity=vending_machine, devices=user defined, indoor=room, room=office|machine=user defined|General help for orientation / Technical assistance|Rooms / venues / offices|machine or device|||
main entrance of a building|entrance=main||Building characteristics|Doorways|type of entrance/exit door|main entrance||Entrance#door, Entrance#isMainEntrance
main material are adobes|material=adobe|||||||
main material are bricks|material=brick|||||||
main material are cement blocks|material=cement_block|||||||
main material are limestones|material=limestone|||||||
main material are metal plates|material=metal_plates|||||||
main material are sand cement blocks|material=sand_cement_blocks|||||||
main material are silicate bricks|material=silicate brick|||||||
main material are slates|material=slate|||||||
main material are tiles|material=tiles|||||||
main material is andesite|material=andesite|||||||
main material is bamboo|material=bamboo|||||||
main material is brass|material=brass|||||||
main material is bronze|material=bronze|||||||
main material is concrete|material=concrete|||||||
main material is dried mud|material=mud|||||||
main material is glass|material=glass|||||||
main material is granite|material=granite|||||||
main material is masonry|material=masonry|||||||
main material is metal|material=metal|||||||
main material is mirrored glass|material=mirror|||||||Mirror#heightFromGround, Mirror#isAccessibleWhileSeated, Mirror#isLocatedInsideRestroom, Restroom#hasMirror, Restroom#mirror
main material is palm leaves|material=palm_leaves|||||||
main material is plaster|material=plaster|||||||
main material is plastic|material=plastic|||||||
main material is rammed_earth|material=rammed_earth|||||||
main material is reinforced concrete|material=reinforced_concrete|||||||
main material is sandstone|material=sandstone|||||||
main material is soil|material=soil|||||||
main material is steel|material=steel|||||||
main material is stone|material=stone|||||||
main material is vinyl|material=vinyl|||||||
main material is wood|material=wood|||||||
make-up room|room=make-up|||||||StructuredAddress#room
man made ditch or trench to prevent access to the other side|barrier=ditch|||||||
man made or natural pond with water for a fire department|emergency=fire_water_pond|||||||
mandatory doorbell|doorbell=mandatory|||||||
maneuvering clearance (clear floor space) in front of the door (pull/push): size (level no steeper than 1:48)|door=yes, height=user defined, incline=down, incline=up, incline=<2%, incline:across=down, incline:across=sag, incline:across=<2%, incline:avg=<2%, length=user defined, wheelchair=yes, width=user defined|clear_floor_space=user defined, clear_floor_space=yes|Building characteristics|Doorways|maneuvering clearance (clear floor space) on both sides of the door (pull/push): size (level no steeper than 1:48)|in front of the door|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Door#turningSpaceInFront, EquipmentProperties#door, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility
maneuvering clearance (clear floor space) inside the room at the door (pull/push): size (level no steeper than 1:48)|door=yes, height=user defined, incline=down, incline=up, incline=<2%, incline:across=down, incline:across=sag, incline:across=<2%, incline:avg=<2%, length=user defined, indoor=room, indoor=yes, wheelchair=yes, width=user defined|clear_floor_space=user defined, clear_floor_space=yes|Building characteristics|Doorways|maneuvering clearance (clear floor space) on both sides of the door (pull/push): size (level no steeper than 1:48)|inside the room at the door|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Door#turningSpaceInFront, EquipmentProperties#door, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility, Restroom#turningSpaceInside, Room#isAccessibleWithWheelchair
maneuvering clearance (clear floor space) on both sides of the door (pull/push): size (level no steeper than 1:48)|door=yes, height=user defined, incline=down, incline=up, incline=<2%, incline:across=down, incline:across=sag, incline:across=<2%, incline:avg=<2%, length=user defined, wheelchair=yes, width=user defined|clear_floor_space=user defined, clear_floor_space=yes|Building characteristics|Doorways|maneuvering clearance (clear floor space) on both sides of the door (pull/push): size (level no steeper than 1:48)||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Door#turningSpaceInFront, EquipmentProperties#door, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility
maneuvering clearance (clear floor space) on both sides of the door (pull/push): size (level no steeper than 1:48): barrier-free lateral approach in cm|door=yes, height=user defined, incline=down, incline=up, incline=<2%, incline:across=down, incline:across=sag, incline:across=<2%, incline:avg=<2%, length=user defined, wheelchair=yes, width=user defined|clear_floor_space=user defined, clear_floor_space=yes|Building characteristics|Doorways|maneuvering clearance (clear floor space) on both sides of the door (pull/push): size (level no steeper than 1:48)|barrier-free lateral approach in cm [1]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Door#turningSpaceInFront, EquipmentProperties#door, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility
maneuvering clearance in rooms / venues / offices|height=user defined, length=user defined, indoor=room, room=office, wheelchair=yes, width=user defined|clear_floor_space=user defined, clear_floor_space=yes|General help for orientation / Technical assistance|Rooms / venues / offices|maneuvering clearance||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility, Restroom#turningSpaceInside, Room#isAccessibleWithWheelchair
maneuvering clearance on floor (pathway)|height=user defined, highway=footway, highway=path, length=user defined, wheelchair=yes, width=user defined|clear_floor_space=user defined, clear_floor_space=yes|Building characteristics|Floor (pathway)|dimension [10]|maneuvering clearance|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#turningSpace, Media#turningSpaceInFront, Pathways#width, Pathways#widthAtObstacles, PlaceInfo#accessibility, Restroom#turningSpaceInside, Room#isAccessibleWithWheelchair
manual and local controls|control=manual;local|||||||
manual and remote controls|control=manual;remote|||||||
manual controls|control=manual|||||||
manufactured piece of hard-wearing material such as ceramic, stone, metal, or even glass, generally used for covering roofs, floors, walls, showers, or other objects such as tabletops|artwork_type=mosaic, artwork_type=tilework|||||||
manufacturer name|name=user defined|||||||EquipmentProperties#manufacturerName, PlaceInfo#name
manufacturer serial number|number=user defined, serial_number=user defined|||||||EquipmentProperties#manufacturerSerialNumber
map that can be read with fingers|information=tactile_map|||||||
mapped as a separate way in OpenStreetMap|ramp=seperated|||||||
marine rescue station|emergency=marine_rescue|||||||
marked footpath in a parking lot,  typically between two parking spaces, to facilitate access to parked vehicles|footway=access_aisle||Way to building|Accessible parking|access aisles|marked access aisles|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
marker that shows the position of the way|information=trail_blaze, information=route_marker||Way to building|Way to public transport|ground indicators|existence [3]||
marking depth of step in cm|highway=steps, depth=user defined|step.depth=user defined|Change Elevation|Stairs|step marking|marking depth of step in cm||
masonry tactile pavement to the entrance|material=masonry||Way to building|Ground in front of entrance|tactile pavement to the entrance|masonry||
massage shop|shop=massage|||||||
material of furniture|material=adobe, material=andesite, material=bamboo, material=brass, material=brick, material=bronze, material=cement_block, material=concrete, material=glass, material=granite, material=limestone, material=masonry, material=metal, material=metal_plates, material=mirror, material=mud, material=palm_leaves, material=plaster, material=plastic, material=rammed_earth, material=reinforced_concrete, material=sand_cement_blocks, material=sandstone, material=silicate brick, material=slate, material=soil, material=steel, material=stone, material=tiles, material=timber_frayming, material=wood, material=vinyl|furniture=yes|Movables|Furniture|material [2]|||
