Name|Semantic tags|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
easy to understand|<PROP>||understandable=yes||||||EquipmentProperties#isEasyToUnderstand
edit page url|<PROP>|url=user defined|||||||PlaceInfo#editPageUrl
email address|<PROP>|email=user defined|||||||PlaceInfo#emailAddress
equipment is working|<PROP>||equipment:condition=excellent, equipment:condition=good, equipment:condition=intermediate||||||EquipmentProperties#isWorking
event Id|<PROP>||ID=user defined||||||PlaceInfo#eventId, PlaceInfo#originalId
existence / too many / not enough signage|<PROP>||sign=not_enough, sign=too_many, sign=yes|General help for orientation / Technical assistance|Signage|existence / too many / not enough|||Restroom#signIcons, WheelchairParking#hasDedicatedSignage
extension cable is needed for the sockets|<PROP>|socket:<type>=yes|extension_cable=needed|General help for orientation / Technical assistance|Rooms / venues / offices|sockets|extension cable needed||
feature opened or the construction of the feature finished at 31/03/2010|<PROP>|start_date=2010-03-31|||||||EquipmentProperties#plannedCompletionDate
fee is usually charged|<PROP>|fee=yes|||||||Payment#acceptsBills, Payment#acceptsCoins, Payment#acceptsCreditCards, Payment#acceptsDebitCards, Payment#acceptsPaymentByMobilePhone, Payment#hasPortablePaymentSystem, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#paymentByZone
internet access operator FON|<PROP>|internet_access:operator=FON|||||||
dedicated for freight|<PROP>|freight=yes|||||||
from 08:00 till 17:30|<PROP>|supervised=08:00-17:30|||||||
fuel available|<PROP>|service=fuel|||||||
furniture size|<PROP>|height=user defined, length=user defined, width=user defined||Movables|Furniture|size [2]|||
furniture type: hanging|<PROP>|advertising=sign, advertising=screen, advertising=tarp, advertising=wall_painting, artwork_type=azulejo, artwork_type=graffiti, artwork_type=mosaic, artwork_type=mural, artwork_type=painting, artwork_type=relief, artwork_type=street_art, artwork_type=streetart, artwork_type=tilework, information=board, material=mirror|furniture=hanging|Movables|Furniture|type: hanging|||
furniture type: standing|<PROP>|advertising=billboard, advertising=board, advertising=column, advertising=flag, advertising=poster_box, advertising=sculpture, advertising=totem, amenity=post_box, amenity=waste_basket, artwork_type=architecture, artwork_type=bust, artwork_type=fountain, artwork_type=sculpture, artwork_type=statue, artwork_type=stone,  bin=yes, man_made=carpet_hanger, man_made=cross, man_made=flagpole, man_made=guard_stone, man_made=obelisk, man_made=planter, man_made=street_cabinet, man_made=yes, memorial=bust, memorial=cenotaph, memorial=cross, memorial=ghost_bike, memorial=obelisk, memorial=sculpture, memorial=statue, memorial=stele, memorial=stone, memorial=war_memorial|furniture=seating|Movables|Furniture|type: standing|||
furniture with glass surface|<PROP>|material=glass|surface=glass|Movables|Furniture|material [2]|glass surface||
general information about machine or device|<PROP>||information:device=user defined, information:machine=user defined|General help for orientation / Technical assistance|Rooms / venues / offices|machine or device|general information||
goes over two levels|<PROP>|level=-1;0|||||||StructuredAddress#level
height lower edge of table in cm|<PROP>|amenity=table, height=user defined|height=lower_edge=user defined|Movables|Tables|dimensions [2]|height lower edge of table in cm||
height of bench|<PROP>|amenity=bench, height=user defined, room=benches||Movables|Benches|dimensions [1]|height [11]||
height of the counter edge protection|<PROP>|height=user defined|counter_edge_protection=yes, counter_edge_protection:height=user defined, height:counter_edge_protection=user defined|Facility daily needs|Services|service desks|dimension: height of the counter edge protection||
high contrast|<PROP>||high_contrast=no, high_contrast=yes||||||EquipmentProperties#isHighContrast, Media#hasContrastingBackground, Stairs#hasHighContrastNosing
horizontal|<PROP>|horizontal=yes|||||||
import ID of disruption source|<PROP>|ref=user defined|||||||EquipmentProperties#disruptionSourceImportId, EquipmentProperties#originalId, PlaceInfo#creatorId, PlaceInfo#originalId
width in feet and inches|<PROP>|"width=16'3"""|||||||Pathways#width, Pathways#widthAtObstacles, WheelchairParking#length, WheelchairParking#width
width in meter|<PROP>|width=2|||||||Pathways#width, Pathways#widthAtObstacles, WheelchairParking#length, WheelchairParking#width
width in miles|<PROP>|width=0.6 mi|||||||Pathways#width, Pathways#widthAtObstacles, WheelchairParking#length, WheelchairParking#width
info page url|<PROP>|url=user defined|||||||PlaceInfo#infoPageUrl, PlaceInfo#placeWebsiteUrl
interactive|<PROP>|interactive=yes|||||||
interior colors are conspicuous colors|<PROP>|colour=aqua, colour=black, colour=blue, colour=brown, colour=cyan, colour=fuchsia, colour=green, colour=gray, colour=grey, colour=lime, colour=magenta, colour=maroon, colour=navy, colour=olive, colour=orange, colour=purple, colour=red, colour=silver, colour=teal, colour=white, colour=yellow|colour=conspicuous, high_contrast=yes|General building information|Interior colors|conspicuous colors|||EquipmentProperties#isHighContrast, PlaceInfo#accessibility
intermediate or half floors|<PROP>|level=user defined|floor=intermediate|General building information|Formal information|intermediate or half floors|||StructuredAddress#level
language of sign is German|<PROP>||sign:de=yes|General help for orientation / Technical assistance|Signage|language|German||EquipmentProperties#languages, Media#hasPlainLanguageOption, Media#languages, Restroom#signIcons, WheelchairParking#hasDedicatedSignage
language of signage|<PROP>||sign:lg=yes|General help for orientation / Technical assistance|Signage|language|||EquipmentProperties#languages, Media#hasPlainLanguageOption, Media#languages, Restroom#signIcons, WheelchairParking#hasDedicatedSignage
language of the overview panel|<PROP>|information=board|information:lg=board|Building characteristics|Doorways|overview panel|language [of the overview panel??]||EquipmentProperties#languages, Media#hasPlainLanguageOption, Media#languages
length of bench|<PROP>|amenity=bench, length=user defined, room=benches||Movables|Benches|dimensions [1]|length [2]||
length of cabin|<PROP>|length=user defined|||||||EquipmentProperties#cabinLength
length of minimum corridor width in cm|<PROP>|length=user defined, room=corridor, width=user defined|minimum_width=user defined|Building characteristics|Floor (pathway)|dimension [10]|length of min. corridor width in cm||Pathways#width, Pathways#widthAtObstacles
manufacturer name|<PROP>|name=user defined|||||||EquipmentProperties#manufacturerName, PlaceInfo#name
manufacturer serial number|<PROP>|number=user defined, serial_number=user defined|||||||EquipmentProperties#manufacturerSerialNumber
media languages|<PROP>|description:lg=user defined, speech_input:lg=no, speech_input:lg=yes, speech_output:lg=no, speech_output:lg=yes|audio:lg=yes, print:lg=yes, video:lg=yes||||||Media#languages
media name|<PROP>|name=user defined, room=media|amenity=media||||||Media#name
media type|<PROP>|room=media|amenity=media, type=audio, type=print,type=user defined, type=video||||||Media#type
minimum corridor / floor (pathway) width in cm|<PROP>|highway=corridor, highway=footway, highway=path, width=user defined|minimum_width=user defined|Building characteristics|Floor (pathway)|dimension [10]|min corridor width in cm||Pathways#width, Pathways#widthAtObstacles
mirror height from ground|<PROP>|height=user defined, material=mirror|||||||Mirror#heightFromGround, Mirror#isAccessibleWhileSeated
mirror in relaxation room|<PROP>|material=mirror, room=relaxation||Facility daily needs|Relaxation room|mirror [2]|||Mirror#heightFromGround, Mirror#isAccessibleWhileSeated
name of rooms / venues / offices|<PROP>|indoor=room, name=user defined, ref=user defined, room=office||General help for orientation / Technical assistance|Rooms / venues / offices|name [5]|||PlaceInfo#name, StructuredAddress#room
name of the place|<PROP>|name=user defined|||||||PlaceInfo#name
neutral colour|<PROP>|step:contrast=no|||||||
no display|<PROP>|display=no|||||||
no fee is usually charged|<PROP>|fee=no|||||||
no freigth|<PROP>|freight=no|||||||
no fridge|<PROP>|fridge=no|||||||
no pictogram|<PROP>|pictogram=no|||||||
no usability|<PROP>|usability=no|||||||
not removable|<PROP>|removable=no|||||||
number of seat rows|<PROP>|number=user defined, rows=user defined, seats=user defined||Movables|Seatings|seat rows|number [1]||
on both sides|<PROP>|side=both|||||||
on the left side|<PROP>|side=left|||||||
on the right side|<PROP>|side=right|||||||
open on weekdays|<PROP>|opening_hours=Mo-Fr|||||||
opening hours|<PROP>|opening_hours=Mo-Fr 08:00-12:00,13:00-17:30; Sa 08:00-12:00; PH off||General building information|Formal information|opening hours [3]|||
operability of technology|<PROP>||technology:operability=average, technology:operability=bad, technology:operability=excellent, technology:operability=good|General help for orientation / Technical assistance|Technology|operability|||
original Data|<PROP>||data=original||||||EquipmentProperties#originalData, PlaceInfo#originalData
original ID|<PROP>||ID=user defined||||||EquipmentProperties#originalId, PlaceInfo#creatorId, PlaceInfo#eventId, PlaceInfo#originalId, Stairs#alternativeMobileEquipmentIds
parent place Id|<PROP>||ID=user defined||||||PlaceInfo#parentPlaceId
place info category|<PROP>|board_type=information, board_type=map, information=audio_beacon, information=audioguide, information=board, information=guidepost, information=map, information=office, information=route_marker, information=tactile_map, information=tactile_model, information=terminal, information=trail_blaze, information=visitor_centre, room=information|||||||PlaceInfo#category
place website url|<PROP>|url=user defined|||||||PlaceInfo#placeWebsiteUrl
planned completion date|<PROP>|opening_date=yes, start_date=yes|||||||EquipmentProperties#plannedCompletionDate
quantity of projectors|<PROP>|number=user defined|projector=user defined, projector=yes|General help for orientation / Technical assistance|Technology|projector|quantity||
reason equipment is out of order|<PROP>||broken:equipment=user defined, description=user defined, disused:equipment=user defined||||||EquipmentProperties#outOfOrderReason
removable|<PROP>|removable=yes|||||||
scale is 1:1000|<PROP>|scale=1:1000|||||||
seat row width in cm|<PROP>|indoor_seating=yes, outdoor_seating=yes, width=user defined|row:width=user defined, seat:width=user defined|Movables|Seatings|seat rows|clear row width in cm||
seating depth in cm|<PROP>|length=user defined, width=user defined|seat:depth=user defined|Movables|Seatings|seating depth in cm|||
seatings exist|<PROP>|indoor_seating=yes, outdoor_seating=yes||Movables|Seatings|existence [8]|||
service availability|<PROP>|availability=user defined|service_availability=user defined|Facility daily needs|Services|availability|||
service indoor app|<PROP>|indoor=yes|service:indoor_app=no, service:indoor_app=yes|Facility daily needs|Services|type [1]|indoor app||
shared path is not segregated|<PROP>|segregated=no|||||||
shared path is segregated|<PROP>|segregated=yes|||||||
signage height|<PROP>|height=user defined|sign:height=user defined, sign=yes|General help for orientation / Technical assistance|Signage|height|||Restroom#signIcons
spoken languages of staff|<PROP>||staff:lg=yes||||||Staff#spokenLanguages
state explanation|<PROP>||state=user defined||||||EquipmentProperties#stateExplanation
state last update|<PROP>||last_update=date, last_update=2011-11-22||||||EquipmentProperties#stateLastUpdate
telephone number is 02084517891|<PROP>|phone=02084517891|||||||EquipmentProperties#servicePhoneNumber, PlaceInfo#phoneNumber
teletypewriter number|<PROP>|contact:tty=+44 11223 456-789|||||||
text colour is black|<PROP>|text:colour=black|||||||StructuredAddress#text
text colour is black and blue|<PROP>|text:colour=black;blue|||||||StructuredAddress#text
text colour is blue|<PROP>|text:colour=blue|||||||StructuredAddress#text
text colour is brown|<PROP>|text:colour=brown|||||||StructuredAddress#text
text colour is green|<PROP>|text:colour=green|||||||StructuredAddress#text
text colour is grey|<PROP>|text:colour=grey|||||||StructuredAddress#text
text colour is light yellow|<PROP>|text:colour=light_yellow|||||||StructuredAddress#text
text colour is red|<PROP>|text:colour=red|||||||StructuredAddress#text
text colour is white|<PROP>|text:colour=white|||||||StructuredAddress#text
text colour is yellow|<PROP>|text:colour=yellow|||||||StructuredAddress#text
the direction is backward|<PROP>|direction=backward|||||||
the direction is down|<PROP>|direction=down|||||||
the direction is forward|<PROP>|direction=forward|||||||
the direction is up|<PROP>|direction=up|||||||
the facility is suitable for 3|<PROP>|capacity=3|||||||
the length of the feature is 0.2 m|<PROP>|length=0.2|||||||WheelchairParking#length
the length of the feature is 0.2 miles|<PROP>|length=0.2 mi|||||||WheelchairParking#length
the length of the feature is 16 feet 7 inches|<PROP>|"length=16'7"""|||||||WheelchairParking#length
the length of the feature is 2 m|<PROP>|length=2, length=2 m|||||||WheelchairParking#length
the measured size is 15 cm|<PROP>|step.height=15, step.length=15|||||||Stairs#stepHeight
the weight is 7,5 t|<PROP>|weight=7,5|||||||
there is a person who supervises the place|<PROP>|supervised=yes, supervised=08:00-17:30, supervised=interval|||||||PlaceInfo#accessibility
there is air conditioning|<PROP>|air_conditioning=yes|||||||
there is hot water|<PROP>|toilets:hotwater=yes|||||||
there is no air conditioning|<PROP>|air_conditioning=no|||||||
there is no handle|<PROP>|handle=no|||||||
there is no person who supervises the place|<PROP>|supervised=no|||||||PlaceInfo#accessibility
there is one changing table|<PROP>|changing_table:count=1|||||||
understandable / not understandable operability of technology|<PROP>|usability=no, usability=yes|operability=bad, operability=easy, operaility=good, operability=not_understandble, operability=understandable|General help for orientation / Technical assistance|Technology|operability|understandable / not understandable||EquipmentProperties#isEasyToUnderstand
usability|<PROP>|usability=yes|||||||
visibility of the projection surface 1st table row: pleasant / unpleasant|<PROP>|visual:condition=average, visual:condition=fair, visual:condition=good, visual:condition=poor||Movables|Tables|dimensions [2]|visibility of the projection surface 1st row: pleasant / unpleasant||
visibility of the projection surface from wheelchair space: pleasant / unpleasant|<PROP>|visual:condition=average, visual:condition=fair, visual:condition=good, visual:condition=poor||Movables|Seatings|pews|visibility of the projection surface from wheelchair space: pleasant / unpleasant|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true, Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Accessibility#partiallyAccessibleWith.wheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
visibility of the projection surface last table row: pleasant / unpleasant|<PROP>|visual:condition=average, visual:condition=fair, visual:condition=good, visual:condition=poor||Movables|Tables|dimensions [2]|visibility of the projection surface last row: pleasant / unpleasant||
visual conditions are average|<PROP>|visual:condition=average|||||||
visual conditions are fair|<PROP>|visual:condition=fair|||||||
visual conditions are good|<PROP>|visual:condition=good|||||||
visual conditions are poor|<PROP>|visual:condition=poor|||||||
warm water is available|<PROP>|warm_water=yes|||||||AnimalPolicy#suppliesWaterForPets
water bottle can easily be filled with drinking water|<PROP>|bottle=yes||Facility daily needs|Drinking fountain|dimension [5]|depth, depending on the depth of the fountain||AnimalPolicy#suppliesWaterForPets
water bottles cannot easily be refilled|<PROP>|bottle=no|||||||
width of a feature|<PROP>|"width=2, width=0.6 mi, width=16'3"""||Facility daily needs|Services|service desks|dimension: width||WheelchairParking#width
width of cabin|<PROP>|width=user defined|||||||EquipmentProperties#cabinWidth
width of floor (pathway)|<PROP>|highway=corridor, highway=footway, highway=path, width=user defined||Building characteristics|Floor (pathway)|dimension [10]|width [9]||Pathways#width, Pathways#widthAtObstacles
the letters are embossed printed|<PROP> <ACCY>|tactile_writing:embossed_printed_letters:lg=yes, embossed_letters=yes|||||||
the letters are engraved|<PROP> <ACCY>|tactile_writing:engraved_printed_letters:lg=yes|||||||
the letters are in Braille (6 dots)|<PROP> <ACCY>|tactile_writing:braille:lg=yes, braille=yes||General help for orientation / Technical assistance|Signage|language|Braille [1]||EquipmentProperties#hasBrailleText, Media#isBraille, Stairs#hasBrailleNavigation
the letters are in computer Braille (8 dots)|<PROP> <ACCY>|tactile_writing:computer_braille:lg=yes|||||||EquipmentProperties#hasBrailleText, Media#isBraille, Stairs#hasBrailleNavigation
the letters are in fakoo|<PROP> <ACCY>|tactile_writing:fakoo:lg=yes|||||||
the letters are in uncommon tactile writing invented for blind persons|<PROP> <ACCY>|tactile_writing:moon:lg=yes||Change Elevation|Elevator|in-car controls / equipment|car control buttons: raised (profile font)||
the letters are not embossed printed|<PROP> <ACCY>|tactile_writing:embossed_printed_letters:lg=no, embossed_letters=no|||||||
the letters are not engraved|<PROP> <ACCY>|tactile_writing:engraved_printed_letters:lg=no|||||||
the letters are not in Braille (6 dots)|<PROP> <ACCY>|tactile_writing:braille:lg=no, braille=no|||||||EquipmentProperties#hasBrailleText, Media#isBraille
the letters are not in computer Braille (8 dots)|<PROP> <ACCY>|tactile_writing:computer_braille:lg=no|||||||EquipmentProperties#hasBrailleText, Media#isBraille
the letters are not in fakoo, fakoo: 9 dots, can be read with eyes easily because it represents latin letters|<PROP> <ACCY>|tactile_writing:fakoo:lg=no|||||||
the letters are not in uncommon tactile writing invented for blind persons|<PROP> <ACCY>|tactile_writing:moon:lg=no|||||||
plan exists|<PROP> <NAV>|board_type=map, information=map||General help for orientation / Technical assistance|Plan|existence [6]|||
administration|<ROOM>|room=administration|||||||
alternative use of relaxation room|<ROOM>|room=relaxation|alternative_use=yes|Facility daily needs|Relaxation room|alternative use|||
ammunition dump|<ROOM>|room=ammunition dump|||||||
archive|<ROOM>|room=archive|||||||
arms depot|<ROOM>|room=arms depot|||||||
auditorium|<ROOM>|room=auditorium||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|auditorium||PlaceInfo#category
aviary|<ROOM>|room=aviary|||||||
backstage|<ROOM>|room=make-up|||||||
balcony|<ROOM>|room=balcony||General help for orientation / Technical assistance|Rooms / venues / offices|balcony|||
baptism|<ROOM>|room=baptism|||||||
barn|<ROOM>|room=barn|||||||
bath room|<ROOM>|room=bath|||||||Restroom#hasBathTub
bedroom|<ROOM>|room=bedroom||Movables|Furniture|type: seating|bed||
beer garden|<ROOM>|room=beer garden|||||||
bell tower|<ROOM>|room=bell tower|||||||
break room|<ROOM>|room=break|||||||
breakfast room|<ROOM>|room=breakfast|||||||
cabin room|<ROOM>|room=cabin|||||||
canteen|<ROOM>|room=canteen||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|food: canteen||PlaceInfo#category
chancel|<ROOM>|room=chancel|||||||
chapel|<ROOM>|room=chapel|||||||
checkroom|<ROOM>|room=check|||||||
classroom|<ROOM>|room=class|||||||StructuredAddress#room
common room|<ROOM>|room=common|||||||StructuredAddress#room
communication room|<ROOM>|room=communication|||||||
computer room|<ROOM>|room=computer||General help for orientation / Technical assistance|Rooms / venues / offices|machine or device|computer||StructuredAddress#room
conference room|<ROOM>|room=conference||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|meeting / conference rooms||PlaceInfo#category, StructuredAddress#room
confessional room|<ROOM>|room=confessional|||||||
conventional room with walls|<ROOM>|indoor=room|||||||StructuredAddress#room
delivery room|<ROOM>|room=delivery|||||||StructuredAddress#room
description of rooms / venues / offices|<ROOM>|blind:description:lg=user defined, deaf:description:lg=user defined, description=user defined, indoor=room, room=entrance, room=office, room=class, room=corridor, room=stairs, room=toilet, room=living, room=dining, room=utility, room=washroom, room=bath, room=hall, room=kitchen, room=bedroom, room=store, room=nursery, room=party, room=common, room=workshop, room=heating, room=drying, room=terrace, room=balcony, room=gallery, room=canteen, room=storage, room=computer, room=sales, room=reception, room=conference, room=hovel, room=stable, room=hobby, room=fuel depot, room=information, room=blueprint, room=copier, room=archive, room=elevator, room=strong, room=escalator, room=lounge, room=delivery, room=restaurant, room=beer garden, room=pub, room=celebration, room=breakfast, room=bar, room=guest, room=reception, room=printer, room=showroom, room=cabin, room=dressing, room=projection, room=vip, room=auditorium, room=stage, room=shoot alley, room=bowling alley, room=administration, room=sound studio, room=recording studio, room=make-up, room=props, room=equipment, room=media, room=library, room=fitness, room=sauna, room=relaxation, room=slide, room=swimming-pool, room=platform, room=sport, room=barn, room=auqarium, room=enclosure, room=vivarium, room=cash point, room=tribune, room=showers, room=catering, room=solarium, room=motor pool, room=hayloft, room=greenhouse, room=food silo, room=stables, room=menagerie, room=aviary, room=terrarium, room=monitoring, room=recycling installation, room=treatment installation, room=installations, room=washing-bay, room=waste container, room=hunting lodge, room=horse, room=riding, room=pulpit, room=benches, room=confessional, room=baptism, room=bell tower, room=sacristy, room=chancel, room=effluent treatment, room=pump, room=public utility use, room=heating system, room=waiting, room=panic, room=vehicle hall, room=ammunition dump, room=arms depot, room=emergency call center, room=prison cell, room=headquarters, room=chapel, room=parish, room=lobby, room=track, room=station concourse, room=factory, room=production, room=industrial, room=communication, room=satellite receiver, room=laboratory, room=recess, room=break, room=staff, room=security check, room=baggage carousel, room=check, room=check-in counter, room=check-out counter, room=departure terminal, room=signal, room=engine shed, room=function, room=refectory, room=lecture, wheelchair:description:lg=user defined||General help for orientation / Technical assistance|Rooms / venues / offices|description [3]|||EquipmentProperties#description, EquipmentProperties#longDescription, EquipmentProperties#shortDescription, PlaceInfo#description, StructuredAddress#room
dining room|<ROOM>|room=dining||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|food: dining areas||PlaceInfo#category, StructuredAddress#room
dressing room|<ROOM>|room=dressing|||||||StructuredAddress#room
drying room|<ROOM>|room=drying|||||||StructuredAddress#room
effluent treatment room|<ROOM>|room=effluent treatment|||||||
enclosure room|<ROOM>|room=enclosure|||||||
engine shed|<ROOM>|room=engine shed|||||||
factory room|<ROOM>|room=factory|||||||
first room of a building after passing the main entrance|<ROOM>|room=entrance|||||||
fitness room|<ROOM>|room=fitness|||||||StructuredAddress#room
food silo room|<ROOM>|room=food silo|||||||
food: cafeteria|<ROOM>|room=canteen||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|food: cafeteria||PlaceInfo#category
fuel depot room|<ROOM>|room=fuel depot|||||||
function room|<ROOM>|room=function|||||||StructuredAddress#room
gallery|<ROOM>|room=gallery|||||||StructuredAddress#room
greenhouse room|<ROOM>|room=greenhouse|||||||
guest room|<ROOM>|room=guest|||||||StructuredAddress#room
hall|<ROOM>|room=hall|||||||StructuredAddress#room
hayloft room|<ROOM>|room=hayloft|||||||
headquarters room|<ROOM>|room=headquarters|||||||
hobby room|<ROOM>|room=hobby|||||||StructuredAddress#room
hovel room|<ROOM>|room=hovel|||||||StructuredAddress#room, StructuredAddress#street
hunting lodge room|<ROOM>|room=hunting lodge|||||||StructuredAddress#room, StructuredAddress#street
industrial room|<ROOM>|room=industrial|||||||
janitor closet|<ROOM>|closet=janitor|||||||
kitchen|<ROOM>|room=kitchen||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|food: kitchen||PlaceInfo#category, StructuredAddress#room
lecture room|<ROOM>|room=lecture||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|lecture room|PlaceInfo#category|StructuredAddress#room
level rooms / venues / offices|<ROOM>|height:threshold=0, indoor=room, level=user defined, room=office||General help for orientation / Technical assistance|Rooms / venues / offices|level [2]|||Ground#isLevel, StructuredAddress#level
living room|<ROOM>|room=living|||||||StructuredAddress#room
lobby|<ROOM>|room=lobby|||||||StructuredAddress#room
loft|<ROOM>||room=loft, loft=yes|General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|loft||PlaceInfo#category, StructuredAddress#room
lounge|<ROOM>|room=lounge||Building characteristics|Floor (pathway)|furnished/equipped lounge and communication area|yes / no [1]||StructuredAddress#room
make-up room|<ROOM>|room=make-up|||||||StructuredAddress#room
media room|<ROOM>|room=media|||||||Media#hasContrastingBackground, Media#hasPlainLanguageOption, Media#hasRealTimeCaptioning, Media#hasSubtitles, Media#isAudio, Media#isBraille, Media#isLargePrint, Media#languages, Media#name, Media#turningSpaceInFront, Media#type
menagerie room|<ROOM>|room=menagerie|||||||
monitoring room|<ROOM>|room=monitoring|||||||
motor pool|<ROOM>|room=motor pool|||||||
nursery room|<ROOM>|room=nursery|||||||StructuredAddress#room
office room|<ROOM>|room=office||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|office||PlaceInfo#category, StructuredAddress#room
one room that is used as a stable|<ROOM>|room=stable|||||||
panic room|<ROOM>|room=panic|||||||StructuredAddress#room
pipe or tube installation room|<ROOM>|room=installations|installations=pipe, installations=tube|General help for orientation / Technical assistance|Rooms / venues / offices|installation|pipes or tubes||StructuredAddress#room
practice room|<ROOM>||room=practice|General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|practice room||PlaceInfo#category, StructuredAddress#room
prison cell|<ROOM>|room=prison cell|||||||StructuredAddress#room
production room|<ROOM>|room=production|||||||
projection room|<ROOM>|room=projection|||||||StructuredAddress#room
pump room|<ROOM>|room=pump|||||||StructuredAddress#room
purpose of rooms / venues / offices|<ROOM>|room=administration, room=ammunition dump, room=auqarium, room=archive, room=arms depot, room=auditorium, room=aviary, room=baggage carousel, room=balcony, room=baptism, room=bar, room=barn, room=bath, room=bedroom, room=beer garden, room=bell tower, room=benches, room=blueprint, room=bowling alley, room=break, room=breakfast, room=cabin, room=canteen, room=cash point, room=catering, room=chancel, room=chapel, room=check, room=check-in counter, room=check-out counter, room=class, room=celebration, room=common, room=communication, room=computer, room=conference, room=confessional, room=copier, room=corridor, room=delivery, room=departure terminal, room=dining, room=dressing, room=drying, room=effluent treatment, room=elevator, room=emergency call center, room=enclosure, room=engine shed, room=entrance, room=equipment, room=escalator, room=factory, room=fitness, room=food silo, room=fuel depot, room=function, room=gallery, room=greenhouse, room=guest, room=hall, room=hayloft, room=headquarters, room=heating, room=heating system, room=hobby, room=horse, room=hovel, room=hunting lodge, room=industrial, room=information, room=installations, room=kitchen, room=laboratory, room=lecture, room=library, room=living, room=lobby, room=lounge, room=make-up, room=media, room=menagerie, room=monitoring, room=motor pool, room=nursery, room=office, room=panic, room=parish, room=party, room=platform, room=printer, room=prison cell, room=production, room=props, room=projection, room=pub, room=public utility use, room=pulpit, room=pump, room=reception, room=recess, room=recording studio, room=recycling installation, room=refectory, room=relaxation, room=restaurant, room=riding, room=sacristy, room=sales, room=satellite receiver, room=sauna, room=security check, room=shoot alley, room=showroom, room=showers, room=signal, room=slide, room=solarium, room=sound studio, room=sport, room=stable, room=stables, room=staff, room=stage, room=stairs, room=station concourse, room=storage, room=store, room=strong, room=swimming-pool, room=terrace, room=terrarium, room=toilet, room=track, room=treatment installation, room=tribune, room=utility, room=vehicle hall, room=vip, room=vivarium, room=waiting, room=washing-bay, room=washroom, room=waste container, room=workshop||General help for orientation / Technical assistance|Rooms / venues / offices|purpose [2]|||PlaceInfo#accessibility
QR code signs for rooms / venues / offices|<ROOM>|indoor=room, room=office|sign=QR_code|General help for orientation / Technical assistance|Rooms / venues / offices|sign|QR Code||Restroom#signIcons
reception room|<ROOM>|room=reception||Facility daily needs|Services|type [1]|reception desk||PlaceInfo#category, StructuredAddress#room
recess room|<ROOM>|room=recess|||||||StructuredAddress#room
recording studio room|<ROOM>|room=recording studio|||||||StructuredAddress#room
refectory room|<ROOM>|room=refectory|||||||StructuredAddress#room
relaxation room|<ROOM>|room=relaxation||Facility daily needs|Relaxation room|access [6]|||StructuredAddress#room
restaurant room|<ROOM>|room=restaurant||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|food: restaurant||PlaceInfo#category, StructuredAddress#room
room containing a bar|<ROOM>|room=bar|||||||PlaceInfo#category, StructuredAddress#room
room containing a bowling alley|<ROOM>|room=bowling alley|||||||PlaceInfo#category, StructuredAddress#room
room containing a cash point|<ROOM>|room=cash point||General help for orientation / Technical assistance|Rooms / venues / offices|machine or device|bank cash machine||PlaceInfo#category, StructuredAddress#room
room containing a copier|<ROOM>|room=copier||General help for orientation / Technical assistance|Rooms / venues / offices|machine or device|photocopier||PlaceInfo#category, StructuredAddress#room
room containing a library|<ROOM>|room=library||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|library||PlaceInfo#category, StructuredAddress#room
room containing a platform|<ROOM>|room=platform|||||||PlaceInfo#category, StructuredAddress#room
room containing a pulpit|<ROOM>|room=pulpit|||||||PlaceInfo#category, StructuredAddress#room
room containing a shoot alley|<ROOM>|room=shoot alley|||||||PlaceInfo#category, StructuredAddress#room
room containing a slide|<ROOM>|room=slide|||||||PlaceInfo#category, StructuredAddress#room
room containing a stage|<ROOM>|room=stage|||||||PlaceInfo#category, StructuredAddress#room
room containing a washing-bay|<ROOM>|room=washing-bay||General help for orientation / Technical assistance|Rooms / venues / offices|machine or device|washing machine||PlaceInfo#category, StructuredAddress#room
room containing a waste container|<ROOM>|room=waste container|||||||PlaceInfo#category, StructuredAddress#room
room containing baggage carousel|<ROOM>|room=baggage carousel||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|baggage reclaim room||PlaceInfo#category, StructuredAddress#room
room containing benches|<ROOM>|room=benches||Movables|Benches|one room with a bench: existence|||PlaceInfo#category, StructuredAddress#room
room containing blueprint|<ROOM>|room=blueprint|||||||PlaceInfo#category, StructuredAddress#room
